fixed acidity,residual sugar,total sulfur dioxide,density,pH,alcohol
12.0,2.0,49.0,0.9997,3.1,10.3
7.3,2.0,48.0,0.99576,3.43,10.0
6.2,2.0,44.0,0.9949,3.45,10.5
10.8,2.2,17.0,0.9984,3.08,9.3
10.5,2.4,15.0,0.9973,3.09,11.8
7.8,1.8,47.0,0.9964,3.19,9.5
8.8,2.2,56.0,0.9962,3.21,10.9
7.7,1.8,18.0,0.99568,3.32,10.5
8.3,1.9,40.0,0.9978,3.39,10.0
6.5,2.0,44.0,0.99489,3.38,10.3
6.1,1.8,45.0,0.99336,3.38,11.0
11.3,2.4,8.0,0.99642,3.2,11.9
6.8,2.0,61.0,0.9953,3.34,10.4
6.9,2.4,39.0,0.99522,3.34,10.8
8.6,2.4,29.0,0.9979,3.08,9.5
7.3,2.6,14.0,0.99562,3.3,10.5
7.8,1.9,38.0,0.9984,3.43,9.0
8.3,2.9,63.0,0.9984,3.17,9.1
7.4,1.8,40.0,0.9978,3.51,9.4
12.6,2.2,29.0,0.9987,2.88,9.8
6.7,1.7,34.0,0.9948,3.39,10.6
7.7,2.5,46.0,0.9971,3.24,9.6
7.5,1.8,99.0,0.995,3.35,10.1
6.3,1.7,20.0,0.9954,3.34,9.4
9.9,2.3,14.0,0.9978,3.34,10.0
8.2,2.5,51.0,0.99672,3.53,10.4
9.3,2.1,16.0,0.9968,3.22,11.2
8.1,2.2,31.0,0.99656,3.25,9.8
8.2,2.0,10.0,0.99418,3.28,11.8
7.0,1.8,24.0,0.9978,3.48,9.0
7.7,2.7,27.0,0.9974,3.26,9.1
7.2,1.8,70.0,0.99685,3.42,9.5
9.4,2.4,18.0,0.9962,3.2,12.0
7.1,2.8,16.0,0.99682,3.24,10.3
8.9,1.9,16.0,0.9948,3.35,12.5
12.0,1.4,42.0,0.998,2.92,10.5
12.8,2.6,28.0,0.9994,3.2,10.8
6.2,1.6,18.0,0.99348,3.57,11.95
9.0,2.1,10.0,0.99568,3.31,11.3
8.5,6.3,10.0,0.99566,3.28,12.0
7.3,1.6,42.0,0.9956,3.37,9.0
8.0,0.9,109.0,0.99007,2.89,12.7
8.1,2.2,31.0,0.99656,3.25,9.8
6.7,2.4,32.0,0.9955,3.55,12.8
8.4,2.3,19.0,0.9955,3.17,11.2
9.0,2.5,86.0,0.9987,3.38,9.5
7.9,2.3,94.0,0.99686,3.21,9.5
6.7,1.8,65.0,0.9959,3.28,9.2
7.8,1.9,47.0,0.99525,3.51,10.7
6.8,1.8,64.0,0.99529,3.12,9.6
11.5,4.0,23.0,0.9996,3.28,10.1
6.6,5.5,17.0,0.99655,3.35,10.8
9.3,2.5,142.0,0.9978,3.22,9.4
9.4,2.2,62.0,0.9966,3.07,10.5
9.1,2.6,106.0,0.9982,3.08,9.1
7.8,1.6,19.0,0.995,3.16,9.8
7.2,2.1,44.0,0.99534,3.4,11.0
7.5,2.3,12.0,0.99605,3.36,11.4
7.1,2.8,37.0,0.99624,3.36,10.7
7.2,2.7,85.0,0.99746,3.51,9.5
7.8,2.8,58.0,0.9974,3.31,10.3
10.1,3.4,86.0,1.001,3.43,11.3
13.3,3.2,53.0,1.0014,3.05,9.5
7.2,2.0,22.0,0.99573,3.21,9.9
8.7,2.7,69.0,0.99734,3.26,10.2
7.0,1.6,37.0,0.99615,3.34,9.2
7.5,2.6,35.0,0.99557,3.36,10.8
8.4,1.8,46.0,0.99504,3.38,11.8
9.8,3.2,59.0,0.9989,3.37,11.5
7.1,5.7,14.0,0.99808,3.4,10.2
8.6,2.3,28.0,0.99516,3.18,11.2
7.0,2.7,72.0,0.998,3.55,9.5
9.9,2.0,89.0,0.9963,3.04,10.1
11.1,3.1,21.0,0.9986,3.17,10.5
7.0,2.0,26.0,0.99575,3.36,10.2
8.6,2.9,119.0,0.998,3.09,9.3
7.9,2.0,143.0,0.9968,3.2,9.5
6.7,1.8,12.0,0.996,3.55,9.95
8.6,2.0,62.0,0.9979,3.03,9.0
9.2,3.0,48.0,0.99888,3.31,9.5
5.4,1.7,26.0,0.99402,3.67,11.6
7.3,1.2,21.0,0.9946,3.39,10.0
8.2,1.7,13.0,0.9968,3.2,9.5
7.5,1.9,44.0,0.9957,3.39,9.7
7.2,2.3,36.0,0.99564,3.38,10.3
9.0,1.7,21.0,0.99692,3.29,10.0
10.5,1.8,22.0,0.9976,3.21,10.8
6.4,1.4,28.0,0.99459,3.42,10.0
9.0,2.4,46.0,0.9943,3.2,12.2
7.9,2.0,105.0,0.996,3.27,9.4
8.8,2.6,18.0,0.9947,3.32,14.0
10.1,1.9,18.0,0.99774,3.22,9.3
8.3,2.2,14.0,0.9967,3.32,11.0
8.1,2.6,15.0,0.997,3.37,11.3
5.6,2.4,25.0,0.99258,3.56,12.9
11.3,2.4,8.0,0.99642,3.2,11.9
8.0,3.4,85.0,0.99668,3.19,9.2
8.8,2.5,88.0,0.99823,3.19,9.2
8.6,2.8,43.0,0.99822,3.33,10.4
7.0,2.5,21.0,0.99572,3.38,11.3
9.5,2.3,144.0,0.99782,3.27,9.4
8.2,2.5,57.0,0.9978,3.3,9.0
8.5,1.4,45.0,0.99702,3.03,9.2
6.5,1.8,28.0,0.99531,3.36,10.1
7.7,1.8,18.0,0.99568,3.32,10.5
7.0,1.9,22.0,0.99606,3.34,9.7
6.8,1.8,8.0,0.9928,3.36,12.8
6.1,2.3,58.0,0.99633,3.42,10.6
10.0,1.9,32.0,0.9974,3.13,9.5
5.0,4.3,80.0,0.9902,3.49,13.6
7.3,1.6,64.0,0.9935,3.38,11.7
7.9,1.9,10.0,0.99419,3.27,11.2
8.0,1.8,49.0,0.99625,3.37,9.9
9.6,2.9,74.0,0.99865,3.3,10.4
7.2,2.1,31.0,0.99761,3.52,9.6
7.5,1.9,88.0,0.99612,3.3,9.8
10.8,2.5,27.0,1.0001,3.05,9.5
7.2,1.9,31.0,0.995,3.46,11.8
10.1,2.3,46.0,0.9988,3.32,9.7
9.7,2.0,19.0,0.99585,3.3,12.4
10.5,2.1,24.0,0.9978,3.15,11.0
11.9,2.8,35.0,0.9994,3.1,10.8
6.4,2.3,64.0,0.99724,3.41,10.4
9.3,3.8,11.0,0.99577,3.23,13.2
8.5,4.7,9.0,0.99738,3.38,11.6
7.7,1.8,112.0,0.9968,3.21,9.3
7.3,2.1,19.0,0.9966,3.39,9.6
8.9,2.0,85.0,0.9971,3.26,9.7
7.7,1.7,27.0,0.99596,3.16,9.4
9.3,2.0,35.0,0.99738,3.25,9.6
9.1,2.0,25.0,0.99516,3.26,11.7
15.6,3.7,43.0,1.0032,2.95,11.2
6.2,2.2,42.0,0.9946,3.57,11.7
7.6,2.1,35.0,0.99533,3.48,11.4
8.9,3.0,112.0,0.9998,3.38,9.5
6.2,4.4,32.0,0.99646,3.56,11.6
7.4,3.0,37.0,0.9966,3.37,10.5
8.9,1.4,10.0,0.99554,3.12,9.1
7.2,1.7,13.0,0.996,3.23,10.0
7.5,1.7,31.0,0.99538,3.36,10.5
7.4,1.9,34.0,0.9978,3.51,9.4
11.2,2.3,13.0,1.0,3.17,9.5
8.0,2.1,105.0,0.99613,3.3,9.9
11.3,2.0,15.0,0.9988,2.94,9.2
7.4,2.0,11.0,0.99562,3.45,11.3
5.4,1.2,46.0,0.99258,4.01,12.5
7.3,2.0,23.0,0.9983,3.61,9.9
7.9,1.9,102.0,0.9964,3.27,9.5
7.5,2.3,38.0,0.9972,3.58,10.5
7.4,2.1,91.0,0.99616,3.29,9.8
8.0,2.0,134.0,0.9968,3.24,9.4
7.1,2.3,27.0,0.99768,3.44,9.4
6.6,2.1,56.0,0.9968,3.49,9.2
4.9,2.1,42.0,0.99154,3.71,14.0
7.9,1.4,13.0,0.99569,3.43,9.5
11.5,3.0,55.0,1.0001,3.26,11.0
8.1,1.9,35.0,0.9972,3.3,9.0
6.8,1.8,65.0,0.9971,3.54,9.3
9.1,1.3,30.0,0.9978,3.24,9.3
6.7,2.4,100.0,0.99064,3.26,11.7
8.3,2.6,19.0,0.9982,3.26,9.3
5.9,1.9,44.0,0.99385,3.5,11.2
7.0,2.1,23.0,0.997,3.47,9.4
7.5,2.5,9.0,0.99632,3.38,10.9
6.5,5.6,47.0,0.99572,3.58,11.2
9.4,3.2,72.0,1.0001,3.31,9.7
9.4,2.7,31.0,0.9984,3.19,10.1
7.2,2.1,44.0,0.99534,3.4,11.0
8.5,2.8,58.0,0.998,3.34,9.6
7.3,5.9,87.0,0.9978,3.33,10.5
8.1,2.8,49.0,0.9994,3.43,11.1
7.9,4.0,61.0,0.9965,3.36,10.7
7.7,1.7,27.0,0.99596,3.16,9.4
7.7,1.8,109.0,0.99565,3.08,9.8
7.1,2.3,43.0,0.9955,3.42,10.7
7.1,1.9,51.0,0.99685,3.38,9.5
6.4,1.8,11.0,0.997,3.46,9.5
6.1,2.5,70.0,0.99352,3.46,12.5
6.8,2.5,64.0,0.99491,3.43,11.2
9.0,2.8,122.0,0.9984,3.32,9.4
7.2,2.2,36.0,0.996,3.33,9.4
7.6,2.1,66.0,0.99718,3.4,9.5
13.4,2.6,21.0,1.0002,3.16,9.7
7.1,2.0,29.0,0.99855,3.67,9.6
6.3,3.7,54.0,0.99586,3.51,11.3
6.7,1.9,62.0,0.997,3.52,9.3
8.4,1.8,46.0,0.99504,3.38,11.8
8.2,2.4,47.0,0.99599,3.27,11.0
7.0,2.0,67.0,0.99565,3.35,9.4
7.3,2.4,46.0,0.9962,3.41,9.4
7.1,5.5,128.0,0.9973,3.42,10.5
11.1,2.2,10.0,0.99572,3.02,10.9
8.8,2.9,130.0,0.99818,3.23,9.6
6.6,2.1,16.0,0.99654,3.38,9.5
7.8,1.9,35.0,0.99628,3.4,10.9
6.2,2.5,26.0,0.99538,3.57,12.0
8.5,2.25,58.0,0.998,3.33,9.8
7.2,1.4,20.0,0.9973,3.32,9.6
5.2,1.8,50.0,0.9957,3.38,9.2
6.7,2.0,36.0,0.9973,3.61,9.8
7.2,2.3,86.0,0.99743,3.53,9.7
8.9,1.8,21.0,0.99552,3.41,11.9
7.4,1.8,34.0,0.99655,3.49,10.5
8.5,6.1,151.0,1.001,3.31,9.3
6.2,1.9,34.0,0.99396,3.48,11.5
7.2,1.8,12.0,0.99587,3.34,9.5
11.2,5.15,17.0,0.9996,3.22,11.2
8.9,1.9,57.0,0.997,3.18,10.3
9.1,1.8,46.0,0.9967,3.32,10.6
8.5,1.9,38.0,0.99518,3.16,11.1
5.1,1.8,88.0,0.99157,3.68,13.6
8.7,2.5,31.0,0.9976,3.27,9.3
9.5,2.7,44.0,0.998,3.12,10.0
7.1,1.8,34.0,0.9972,3.47,9.9
6.3,1.4,23.0,0.9955,3.34,9.3
7.2,2.3,86.0,0.99743,3.53,9.7
6.3,2.3,40.0,0.99574,3.42,11.0
5.9,2.1,24.0,0.99376,3.56,11.1
9.3,2.1,125.0,0.9978,3.14,9.5
13.7,2.9,43.0,1.0014,3.06,10.0
6.2,2.5,14.0,0.99555,3.51,11.0
6.6,7.9,124.0,0.9994,3.47,9.9
6.8,4.8,39.0,0.99577,3.53,11.1
10.4,2.1,16.0,0.9994,3.16,8.4
7.9,1.5,35.0,0.99396,3.29,11.0
8.9,2.2,39.0,0.99692,3.33,11.1
9.5,1.9,28.0,0.99712,3.25,10.0
9.1,2.8,44.0,0.99888,3.31,9.5
5.3,2.2,89.0,0.99182,3.54,13.6
7.4,1.8,38.0,0.9933,3.38,13.6
9.9,2.3,40.0,0.9991,3.39,9.4
6.8,2.1,25.0,0.9958,3.33,9.5
6.9,2.4,12.0,0.99354,3.3,11.4
7.4,2.1,91.0,0.99616,3.29,9.8
11.9,2.7,42.0,1.0004,3.16,10.3
8.8,2.8,111.0,0.9982,3.3,9.5
8.1,2.1,65.0,0.9967,3.29,9.2
7.0,1.9,28.0,0.99492,3.35,10.6
7.5,2.6,84.0,0.9972,3.32,9.6
8.0,2.0,7.0,0.99454,3.22,11.2
7.2,2.6,86.0,0.99748,3.51,9.7
7.4,7.3,121.0,0.9982,3.37,9.4
12.0,1.9,21.0,0.9976,2.98,9.9
10.6,2.6,68.0,0.99708,3.23,10.9
7.4,1.8,39.0,0.9977,3.5,9.9
8.0,1.8,16.0,0.9962,3.42,10.5
6.6,2.2,18.0,0.99444,3.42,11.3
7.0,2.1,25.0,0.9972,3.47,9.5
7.8,1.8,21.0,0.996,3.28,9.8
8.1,3.3,13.0,0.99855,3.36,9.5
6.3,2.1,49.0,0.99374,3.41,12.8
7.8,1.6,29.0,0.9974,3.26,9.1
5.0,1.6,96.0,0.9934,3.74,11.5
6.8,2.1,15.0,0.99498,3.35,10.4
6.4,2.4,19.0,0.9963,3.56,10.6
8.8,2.2,52.0,0.998,3.44,9.2
8.9,1.7,62.0,0.9971,3.0,9.3
12.3,2.2,14.0,1.0002,3.19,9.6
8.6,3.3,17.0,0.99735,3.23,10.0
6.1,2.1,13.0,0.99472,3.52,11.4
8.8,1.8,19.0,0.99616,3.3,9.6
8.5,2.1,30.0,0.9967,3.2,9.8
9.0,2.8,104.0,0.99779,3.23,9.7
6.9,2.3,16.0,0.99508,3.45,11.5
7.2,2.0,20.0,0.99546,3.29,10.1
7.6,1.9,85.0,0.99706,3.41,9.0
10.8,2.1,66.0,0.9982,3.17,10.8
11.9,2.5,37.0,0.9992,3.05,10.0
9.6,2.2,28.0,0.9988,3.14,10.2
7.9,1.6,37.0,0.9966,3.17,9.5
8.5,1.7,15.0,0.99524,3.3,11.8
11.6,2.2,47.0,1.0008,3.25,9.0
8.3,2.5,54.0,0.99724,3.36,10.1
7.3,2.1,54.0,0.99728,3.3,10.0
10.3,2.4,12.0,0.9994,3.19,9.5
8.0,3.2,119.0,0.99675,3.26,9.3
8.1,1.8,141.0,0.9968,3.17,9.4
8.9,3.45,14.0,0.9994,3.44,11.5
6.7,2.4,82.0,0.9958,3.35,10.1
10.4,6.55,76.0,0.999,3.17,12.0
8.6,1.8,12.0,0.99516,3.35,11.7
8.1,1.5,12.0,0.99542,3.35,10.7
8.2,2.5,47.0,0.99594,3.4,11.3
9.8,2.5,66.0,0.99726,3.15,9.8
9.4,2.8,17.0,0.9964,3.15,11.7
6.3,3.2,39.0,0.9956,3.56,12.7
6.4,3.3,53.0,0.99294,3.36,12.2
11.1,1.5,15.0,0.9973,3.22,10.1
9.9,3.4,71.0,1.00015,3.31,9.8
10.4,2.0,13.0,0.99774,3.22,11.4
8.4,1.9,63.0,0.9965,3.19,9.6
10.4,2.3,19.0,0.996,3.1,11.4
7.6,2.5,10.0,0.9967,3.39,9.8
6.5,1.6,17.0,0.99467,3.5,10.9
12.5,4.5,49.0,0.9981,3.05,9.6
7.0,2.1,55.0,0.9956,3.39,11.4
7.5,2.4,29.0,0.9965,3.32,10.0
7.5,2.0,91.0,0.99616,3.26,9.8
8.7,2.0,49.0,0.9962,3.14,11.0
7.8,1.7,69.0,0.9973,3.08,9.3
6.5,3.0,27.0,0.9929,3.33,12.8
8.4,2.0,10.0,0.99386,3.27,12.5
8.7,2.5,31.0,0.9976,3.27,9.3
12.5,2.4,27.0,0.9999,3.08,10.9
5.6,1.4,88.0,0.9924,3.56,12.9
7.9,2.5,38.0,0.9963,3.34,11.7
7.7,1.6,9.0,0.9962,3.4,9.4
11.2,2.0,50.0,0.99783,3.1,10.4
7.1,2.6,92.0,0.99745,3.5,9.8
6.8,2.1,101.0,0.9956,3.34,10.2
6.7,1.7,34.0,0.9948,3.39,10.6
6.9,1.75,22.0,0.99322,3.38,11.7
8.4,2.0,22.0,0.9976,3.22,9.6
8.3,2.4,43.0,0.99444,3.31,12.5
7.0,4.8,69.0,0.99633,3.32,11.0
6.8,2.7,33.0,0.99538,3.44,11.3
7.5,8.1,92.0,0.99892,3.2,9.2
7.0,2.5,20.0,0.9969,3.48,9.6
7.8,1.7,96.0,0.9961,3.19,9.5
8.3,1.8,16.0,0.998,3.18,9.5
8.3,2.4,86.0,0.9983,3.37,9.5
6.3,1.8,61.0,0.9959,3.44,10.3
6.4,1.8,31.0,0.99689,3.59,9.8
10.2,1.9,9.0,0.99628,3.1,10.4
8.4,2.2,75.0,0.99736,3.2,9.2
8.0,1.7,50.0,0.9946,3.38,11.9
7.5,3.1,14.0,0.99476,3.21,11.6
7.5,1.8,99.0,0.995,3.35,10.1
8.3,2.4,43.0,0.99444,3.31,12.5
9.8,2.7,33.0,0.9982,3.42,10.0
8.3,2.0,27.0,0.9974,3.21,9.4
9.4,2.3,73.0,0.99786,3.47,10.2
7.2,4.65,11.0,0.9962,3.41,10.9
10.7,2.6,16.0,0.9972,3.15,11.0
6.9,3.0,27.0,0.9987,3.69,9.4
7.3,2.1,11.0,0.9958,3.33,10.3
7.4,1.9,34.0,0.9978,3.51,9.4
8.2,5.1,22.0,0.9974,3.22,10.9
6.5,4.3,20.0,0.99488,3.45,11.8
9.1,1.8,18.0,0.99392,3.18,11.4
7.9,1.6,25.0,0.9967,3.32,8.7
10.0,2.2,15.0,0.9994,3.2,9.6
8.8,2.2,15.0,0.9988,3.36,9.1
5.9,2.2,51.0,0.99512,3.52,11.2
7.0,4.5,110.0,0.99914,3.3,10.2
7.3,2.5,67.0,0.99648,3.6,11.1
12.3,2.3,18.0,1.0004,3.16,9.5
10.6,2.2,18.0,0.9986,3.04,9.4
11.6,1.5,41.0,0.99735,3.02,9.9
12.5,2.6,72.0,0.9996,3.1,10.5
8.0,2.8,62.0,0.99685,3.35,10.0
7.3,2.0,35.0,0.9961,3.33,9.5
7.2,2.2,24.0,0.9956,3.42,11.1
9.3,1.6,42.0,0.99526,3.24,10.8
7.1,2.0,68.0,0.99694,3.45,9.4
9.9,5.0,17.0,0.99484,3.19,12.5
8.3,2.1,43.0,0.9976,3.31,9.2
8.9,2.5,48.0,0.99739,3.2,9.7
8.7,3.0,81.0,1.0002,3.48,11.6
6.6,2.4,29.0,0.99397,3.42,11.7
6.9,2.1,31.0,0.9948,3.51,11.4
7.5,1.6,42.0,0.9978,3.31,9.0
8.6,2.3,28.0,0.99516,3.18,11.2
15.6,4.2,23.0,1.00315,2.92,11.1
8.2,2.5,71.0,0.99624,3.27,11.0
7.0,1.6,67.0,0.9952,3.5,11.1
7.6,1.8,11.0,0.9962,3.28,9.5
8.8,5.9,13.0,0.99658,3.3,12.1
6.2,2.1,13.0,0.99664,3.59,10.0
8.0,2.6,46.0,0.9985,3.43,10.7
7.4,1.8,47.0,0.9956,3.37,10.4
9.8,2.6,20.0,0.999,3.31,10.7
8.3,2.9,40.0,0.99803,3.29,9.5
7.7,2.2,133.0,0.9956,3.27,9.9
5.6,2.5,15.0,0.99256,3.52,12.9
7.6,2.8,73.0,0.9955,3.17,10.2
10.8,1.6,37.0,0.9985,3.22,10.0
9.6,2.8,46.0,0.9979,3.11,10.0
11.7,2.2,23.0,0.99974,3.21,10.9
7.2,2.1,44.0,0.99534,3.4,11.0
6.8,1.9,38.0,0.99651,3.42,9.5
9.2,2.6,93.0,0.9998,3.48,9.8
