fixed acidity,residual sugar,total sulfur dioxide,density,pH,alcohol
8.1,2.2,41.0,0.9967,3.36,9.1
7.4,2.4,33.0,0.99736,3.58,10.8
8.8,2.3,72.0,0.99543,3.39,11.8
9.9,6.7,19.0,0.9986,3.27,11.7
9.0,2.4,28.0,0.99836,3.33,10.4
7.2,2.1,72.0,0.997,3.44,9.4
9.2,2.2,31.0,0.99615,3.33,12.0
7.1,2.5,87.0,0.99745,3.48,9.7
7.8,3.8,67.0,0.99668,3.26,9.2
7.6,1.7,45.0,0.99612,3.31,10.7
6.9,2.4,40.0,0.9968,3.43,9.7
8.8,2.4,42.0,0.9969,3.19,9.5
8.9,2.3,22.0,0.9986,3.37,10.3
8.2,2.0,81.0,0.9973,3.19,9.4
6.7,2.1,119.0,0.99538,3.36,10.9
6.4,2.2,35.0,0.9934,3.37,12.4
7.9,3.6,37.0,0.9973,3.35,12.8
7.3,7.2,121.0,0.9981,3.37,9.4
7.2,2.0,20.0,0.99546,3.29,10.1
7.0,2.5,21.0,0.99572,3.38,11.3
9.3,1.9,22.0,0.99708,3.28,9.5
9.4,2.2,13.0,0.998,3.22,9.2
12.8,2.4,35.0,0.9997,3.1,10.4
7.6,1.9,57.0,0.9969,3.37,10.3
7.6,1.9,12.0,0.99521,3.36,11.0
5.7,1.4,18.0,0.99191,3.45,12.2
8.6,1.8,56.0,0.99632,3.02,9.3
7.4,1.8,23.0,0.9961,3.3,9.6
7.7,1.5,9.0,0.99458,3.16,9.8
6.4,1.8,11.0,0.997,3.46,9.5
7.0,2.5,85.0,0.9962,3.39,11.4
7.2,4.65,11.0,0.9962,3.41,10.9
8.2,1.7,13.0,0.9968,3.2,9.5
7.4,2.0,72.0,0.9957,3.15,9.4
8.4,1.7,25.0,0.99581,3.09,9.7
15.0,2.2,24.0,1.00005,3.07,9.2
8.5,2.3,67.0,0.9968,3.17,9.4
7.1,3.9,45.0,0.9976,3.46,9.5
8.0,1.9,19.0,0.9962,3.34,10.5
6.9,3.0,27.0,0.9987,3.69,9.4
8.8,1.7,19.0,0.99701,3.31,10.0
9.0,3.0,13.0,0.9976,3.29,10.4
7.5,4.1,46.0,0.99592,3.02,9.2
7.6,2.1,66.0,0.99718,3.4,9.5
8.3,2.6,87.0,0.9983,3.48,10.0
12.0,3.0,30.0,0.9996,3.18,10.8
7.0,2.3,36.0,0.99476,3.39,10.9
6.0,2.1,54.0,0.995,3.54,10.7
5.6,2.1,78.0,0.99346,3.68,11.4
8.6,3.0,135.0,0.9976,3.3,9.4
7.8,2.4,15.0,0.9975,3.42,10.8
8.0,2.0,59.0,0.99612,3.3,10.2
6.1,2.8,28.0,0.99631,3.6,10.2
11.3,2.3,16.0,0.9988,3.09,9.3
6.6,2.4,23.0,0.99627,3.54,11.0
10.5,2.4,15.0,0.9973,3.09,11.8
9.3,3.4,87.0,0.99975,3.24,9.7
8.6,3.0,119.0,0.997,3.2,9.4
8.9,1.8,21.0,0.99552,3.41,11.9
10.2,2.4,17.0,0.99565,3.22,11.8
6.7,2.4,34.0,0.99484,3.29,11.6
9.1,2.1,28.0,0.999,3.41,10.3
7.2,1.4,20.0,0.9973,3.32,9.6
7.3,2.2,104.0,0.99632,3.33,9.5
7.0,3.6,29.0,0.99416,3.28,11.3
4.6,2.1,65.0,0.9934,3.9,13.1
8.5,1.8,51.0,0.99456,3.38,11.8
6.7,2.0,57.0,0.99598,3.6,11.7
7.9,4.0,61.0,0.9965,3.36,10.7
9.9,13.8,82.0,1.00242,3.16,8.8
6.8,2.1,23.0,0.99546,3.38,10.3
7.0,2.0,19.0,0.9956,3.4,10.0
9.2,2.6,77.0,0.99922,3.15,9.4
6.0,2.4,50.0,0.99467,3.58,12.5
8.4,1.7,20.0,0.99603,3.39,10.5
7.2,5.5,18.0,0.99684,3.37,11.2
8.4,2.7,18.0,0.99682,3.26,9.9
7.7,2.6,63.0,0.99615,3.37,10.5
8.5,1.9,38.0,0.99518,3.16,11.1
7.5,2.3,12.0,0.99605,3.36,11.4
5.2,1.6,106.0,0.9927,3.54,12.2
5.1,2.1,101.0,0.9924,3.46,12.9
9.1,2.05,27.0,0.99516,3.26,11.7
7.8,2.7,17.0,0.99732,3.33,11.0
7.0,5.6,121.0,0.9974,3.34,10.5
9.0,2.0,21.0,0.99769,3.27,9.6
7.5,1.8,60.0,0.99499,3.1,9.2
7.1,1.3,12.0,0.9942,3.17,9.8
7.6,2.0,20.0,0.9959,3.2,9.6
7.4,2.6,72.0,0.99645,3.39,11.0
7.8,1.7,17.0,0.99659,3.26,9.4
9.9,5.8,76.0,0.99878,3.14,9.4
9.2,3.4,69.0,0.9996,2.74,9.4
6.6,1.7,149.0,0.9922,3.12,11.5
5.0,2.0,50.0,0.9917,3.72,14.0
6.0,1.4,26.0,0.99448,3.36,9.5
12.6,2.8,41.0,0.99939,3.21,11.3
6.0,2.3,33.0,0.99292,3.58,12.5
8.2,2.2,10.0,0.99536,3.31,11.2
6.8,2.1,44.0,0.9953,3.47,10.4
6.7,2.0,80.0,0.9958,3.38,10.1
7.8,2.4,41.0,0.9974,3.24,9.8
7.6,2.7,60.0,0.9971,3.31,10.1
6.1,2.6,27.0,0.99362,3.57,11.9
11.6,3.3,98.0,1.001,3.2,9.2
7.1,2.1,27.0,0.99712,3.44,9.8
8.7,3.3,19.0,0.99468,3.3,12.0
7.3,2.1,49.0,0.99705,3.31,9.7
7.4,5.4,98.0,0.99736,3.28,9.5
7.8,2.0,18.0,0.9968,3.36,9.5
7.9,2.2,67.0,0.996,3.33,11.3
6.6,2.1,14.0,0.9955,3.39,9.4
9.6,2.4,147.0,0.9979,3.24,9.4
9.6,2.3,23.0,0.99786,3.24,10.5
11.9,3.1,23.0,1.0,3.15,10.4
7.8,2.2,66.0,0.9974,3.25,9.2
7.2,2.0,11.0,0.99608,3.39,10.0
10.1,2.3,26.0,0.99531,3.17,12.5
8.8,4.0,69.0,0.99787,3.22,10.0
7.5,2.0,44.0,0.99494,3.1,9.3
11.3,1.8,47.0,0.99734,3.15,10.5
8.0,2.3,81.0,0.99688,3.24,9.5
9.4,2.4,18.0,0.9962,3.2,12.0
9.3,1.5,55.0,0.99652,3.47,10.9
6.6,2.3,48.0,0.9952,3.52,12.3
10.6,2.2,40.0,0.9976,3.14,9.8
8.2,2.2,65.0,0.9959,3.3,10.1
6.7,2.1,52.0,0.99494,3.34,11.2
7.4,2.1,25.0,0.99388,3.35,12.0
7.2,2.6,78.0,0.9964,3.39,11.0
6.2,2.1,98.0,0.99578,3.33,9.8
6.8,2.0,14.0,0.99562,3.51,10.8
7.1,2.3,94.0,0.99744,3.55,9.7
8.2,5.1,22.0,0.9974,3.22,10.9
8.1,1.8,17.0,0.9976,3.3,9.4
8.3,2.2,38.0,0.99616,3.15,9.8
7.7,2.1,32.0,0.99604,3.23,10.0
7.2,2.0,28.0,0.9947,3.23,11.3
7.8,2.7,95.0,0.9966,3.22,9.4
12.8,2.6,28.0,0.9994,3.2,10.8
7.0,4.5,110.0,0.99914,3.3,10.2
9.2,2.5,25.0,0.9952,3.34,13.3
6.7,1.7,34.0,0.9948,3.39,10.6
7.8,4.3,64.0,0.99642,3.16,9.4
7.4,2.0,38.0,0.99748,3.48,9.8
7.9,2.0,19.0,0.99546,3.35,11.4
6.5,8.3,91.0,0.9952,3.44,12.1
9.4,2.8,30.0,0.9976,3.12,12.0
9.2,2.3,23.0,0.9976,3.35,11.3
8.0,1.7,35.0,0.99575,3.34,10.0
6.9,1.5,49.0,0.9958,3.35,9.5
5.3,2.2,89.0,0.99182,3.54,13.566666666666698
9.3,1.5,55.0,0.99652,3.47,10.9
9.6,1.4,24.0,0.99695,3.22,10.3
7.7,2.4,20.0,0.9963,3.29,10.2
6.7,1.9,42.0,0.99489,3.39,10.9
8.0,2.3,81.0,0.99688,3.24,9.5
10.3,6.4,13.0,0.9976,3.23,12.6
9.3,1.5,55.0,0.99652,3.47,10.9
7.5,2.2,60.0,0.9963,3.28,9.8
6.8,1.6,61.0,0.99572,3.29,9.3
12.2,2.6,64.0,1.0,3.1,10.5
6.8,1.8,52.0,0.9976,3.62,9.9
7.9,1.7,15.0,0.99458,3.32,11.9
13.0,4.3,47.0,1.0021,3.3,12.7
7.4,1.9,42.0,0.9961,3.42,11.5
10.0,2.6,33.0,0.99965,3.36,10.5
9.9,3.4,71.0,1.00015,3.31,9.8
8.3,3.4,112.0,0.9976,3.27,9.4
9.8,1.65,11.0,0.99478,3.19,11.4
9.1,2.6,26.0,0.9994,3.35,9.4
12.3,2.2,14.0,1.0002,3.19,9.6
8.0,2.1,105.0,0.99613,3.3,9.9
11.6,1.4,28.0,0.99704,3.07,10.0333333333333
6.6,2.6,27.0,0.99665,3.44,10.2
6.6,6.1,49.0,0.99718,3.35,10.3
6.8,2.4,30.0,0.9966,3.52,10.7
8.9,2.0,110.0,0.9972,3.12,9.3
7.4,2.4,33.0,0.99736,3.58,10.8
9.0,2.9,110.0,0.9982,3.08,9.2
8.7,1.6,11.0,0.99745,3.31,9.55
7.2,2.0,20.0,0.99546,3.29,10.1
7.1,1.8,51.0,0.99634,3.49,10.4
9.9,1.7,52.0,0.99752,3.35,10.0
6.7,2.1,34.0,0.99552,3.33,9.7
8.4,2.1,90.0,0.9973,3.2,9.2
6.1,2.2,9.0,0.9948,3.59,11.5
7.8,2.6,67.0,0.9968,3.2,9.8
7.5,1.7,31.0,0.99538,3.36,10.5
7.9,1.8,20.0,0.9941,3.28,11.1
7.8,1.8,47.0,0.9964,3.19,9.5
8.9,2.5,30.0,0.99824,3.34,10.5
6.8,1.7,53.0,0.9958,3.41,9.7
6.1,1.8,28.0,0.99464,3.36,10.1
9.3,2.1,20.0,0.9966,3.12,9.9
8.0,1.6,29.0,0.99588,3.3,10.8
7.3,1.7,79.0,0.9969,3.41,9.5
7.6,2.6,49.0,0.9968,3.21,10.0
11.4,6.2,24.0,0.9988,3.11,13.3
6.8,1.9,39.0,0.99701,3.4,9.7
6.8,5.6,58.0,0.9997,3.46,10.2
11.8,2.1,19.0,0.9986,3.11,10.8
7.6,1.7,65.0,0.99716,3.46,9.5
7.6,1.3,20.0,0.9965,3.17,9.2
9.1,1.9,17.0,0.99774,3.32,10.5
11.6,3.65,14.0,0.9978,3.05,11.5
7.2,1.6,27.0,0.9972,3.36,9.6
9.3,1.9,22.0,0.99708,3.28,9.5
8.3,2.1,12.0,0.99408,3.26,12.4
9.9,2.4,33.0,0.9974,3.09,9.4
7.6,2.3,14.0,0.99502,3.32,11.5
6.2,1.6,11.0,0.99425,3.61,11.4
7.3,2.1,54.0,0.99728,3.3,10.0
10.3,4.5,13.0,0.998,3.28,11.5
9.6,2.1,38.0,0.99622,3.23,11.1
7.3,2.0,104.0,0.99584,3.28,9.9
6.4,2.3,36.0,0.99519,3.47,11.3
11.9,2.8,35.0,0.9994,3.1,10.8
6.8,8.8,45.0,0.99824,3.38,10.1
10.2,2.4,28.0,0.9978,3.14,10.4
6.4,2.2,48.0,0.99661,3.47,9.7
8.9,2.0,19.0,0.9957,3.17,10.4
10.2,2.9,26.0,0.9968,3.16,12.5
12.5,2.0,15.0,0.9988,2.99,10.2
9.9,2.4,52.0,0.9971,3.19,11.6
8.0,2.1,74.0,0.99656,3.27,9.8
10.7,6.6,99.0,1.00289,3.22,9.3
7.1,2.3,43.0,0.9955,3.42,10.7
8.1,2.2,53.0,0.995,3.27,12.4
9.8,2.5,28.0,0.9981,3.24,10.8
11.9,2.7,42.0,1.0004,3.16,10.3
9.2,3.3,47.0,0.9988,3.26,9.6
9.0,2.8,98.0,0.99815,3.32,9.5
7.8,2.0,131.0,0.99622,3.21,9.9
7.9,2.2,59.0,0.99714,3.31,10.1
9.4,2.0,48.0,0.9981,3.14,9.7
8.7,3.0,81.0,1.0002,3.48,11.6
7.8,2.5,35.0,0.996,3.34,11.6
6.8,6.0,18.0,0.9962,3.41,10.8
5.8,1.8,28.0,0.99483,3.55,10.9
6.9,6.7,115.0,0.99787,3.22,9.5
10.0,2.7,89.0,0.9984,3.22,10.0
10.6,15.5,23.0,1.0026,3.12,9.2
7.9,1.8,44.0,0.9973,3.3,9.5
8.8,2.8,16.0,0.99614,3.31,11.8
8.1,2.1,30.0,0.9968,3.23,9.7
7.5,1.6,58.0,0.9965,3.34,9.4
10.0,2.9,8.0,0.99674,3.33,12.2
7.5,1.7,31.0,0.99538,3.36,10.5
8.7,2.5,64.0,0.99746,3.1,9.6
7.2,3.0,16.0,0.99586,3.43,10.0
8.5,2.1,113.0,0.99733,3.13,9.2
5.1,1.7,86.0,0.99264,3.56,12.9
8.8,1.7,27.0,0.99394,3.14,11.3
7.3,2.5,13.0,0.998,3.49,9.2
10.9,1.8,14.0,0.9982,3.3,9.8
7.1,2.0,68.0,0.99694,3.45,9.4
6.7,2.1,119.0,0.99538,3.36,10.9
8.6,2.0,28.0,0.99815,3.28,10.0
7.7,2.0,39.0,0.9987,3.48,9.3
6.6,2.2,15.0,0.9956,3.4,9.4
6.3,2.0,33.0,0.99488,3.6,11.2
15.0,2.2,24.0,1.00005,3.07,9.2
8.6,1.9,77.0,0.99604,3.47,11.0
8.0,1.9,15.0,0.9956,3.3,11.4
5.6,1.5,13.0,0.99498,3.66,10.1
8.1,2.6,15.0,0.997,3.37,11.3
8.4,1.9,63.0,0.9965,3.19,9.6
7.6,2.1,74.0,0.9958,3.26,9.9
9.9,2.3,61.0,0.9982,3.21,9.5
8.9,4.0,10.0,0.99586,3.21,12.1
10.9,1.8,44.0,0.99734,3.28,11.5
6.3,2.0,24.0,0.99437,3.59,11.2
8.7,2.5,49.0,0.9976,3.34,10.6
12.4,2.6,69.0,0.9994,3.12,10.4
6.3,1.4,33.0,0.9922,3.45,12.3
7.7,2.7,58.0,0.9947,3.37,11.8
15.5,4.2,23.0,1.00315,2.92,11.1
7.9,1.6,30.0,0.994,3.29,11.2
7.6,2.6,44.0,0.99656,3.38,11.1
7.4,5.2,98.0,0.99713,3.16,9.6
7.4,2.4,61.0,0.99528,3.43,10.8
11.7,1.7,32.0,0.99686,3.15,10.6
7.2,2.3,46.0,0.99332,3.32,11.8
8.1,4.1,14.0,0.99854,3.36,9.6
10.4,1.9,10.0,0.99724,3.33,10.9
5.2,1.8,63.0,0.9916,3.68,14.0
7.5,3.7,94.0,0.99786,3.14,9.1
8.7,2.5,15.0,0.9991,3.32,9.0
8.4,6.0,54.0,0.999,3.37,9.9
7.0,1.4,63.0,0.996,3.28,9.2
8.0,2.2,25.0,0.9936,3.28,12.4
7.7,3.5,10.0,0.9972,3.25,9.9
7.4,2.0,67.0,0.9972,3.34,9.2
9.9,13.8,82.0,1.00242,3.16,8.8
7.8,2.3,54.0,0.9975,3.43,10.0
7.8,1.9,55.0,0.9962,3.31,11.0
10.0,11.0,50.0,1.0015,3.16,9.2
10.0,2.7,32.0,1.0,3.28,10.0
8.8,2.7,122.0,0.9982,3.26,9.5
7.3,1.9,102.0,0.9967,3.26,9.3
10.6,2.5,21.0,0.9987,3.26,10.7
7.5,2.3,8.0,0.9951,3.4,11.0
5.3,1.5,62.0,0.99395,3.62,11.0
9.5,2.3,37.0,0.9982,3.17,9.6
8.6,1.9,136.0,0.9972,2.93,9.9
7.6,2.3,71.0,0.9982,3.52,9.7
7.1,1.8,18.0,0.99344,3.39,12.4
9.0,2.7,125.0,0.9984,3.31,9.4
9.1,2.1,28.0,0.999,3.41,10.3
7.9,1.8,49.0,0.9963,3.28,9.3
8.7,2.4,59.0,0.99617,3.33,12.0
7.5,2.6,44.0,0.9965,3.38,10.7
7.1,2.1,24.0,0.99252,3.3,13.3
7.5,1.7,60.0,0.99494,3.1,9.3
10.4,1.8,20.0,0.9977,3.18,11.0
8.2,2.3,9.0,0.99506,3.27,12.3
7.7,2.0,60.0,0.9955,3.36,10.9
7.6,2.5,23.0,0.9957,3.3,11.2
9.9,2.3,40.0,0.9991,3.39,9.4
10.0,2.0,11.0,0.99585,3.23,12.0
7.7,2.1,54.0,0.998,3.42,9.2
7.6,2.0,24.0,0.9963,3.44,11.9
8.9,5.6,47.0,0.9991,3.38,10.5
8.9,2.0,81.0,0.9964,3.04,9.5
8.7,6.2,42.0,0.9953,3.24,12.6
12.7,2.8,19.0,0.9994,3.14,11.4
7.5,2.2,12.0,0.99495,3.44,11.5
10.0,2.2,58.0,0.9991,3.18,10.1
6.1,1.8,25.0,0.9955,3.42,10.1
7.0,1.7,8.0,0.996,3.41,10.3
7.5,3.0,53.0,0.9967,3.37,10.3
8.8,1.7,23.0,0.9971,3.15,9.2
8.6,1.5,18.0,0.99666,3.2,9.4
9.9,2.6,77.0,0.998,3.28,9.8
5.9,2.0,44.0,0.99547,3.57,10.2
5.6,2.3,99.0,0.9937,3.63,13.0
6.9,2.0,51.0,0.99668,3.47,9.5
10.0,2.2,58.0,0.9991,3.18,10.1
8.4,2.1,36.0,0.99392,3.11,12.4
10.9,1.8,14.0,0.9982,3.3,9.8
7.9,1.8,56.0,0.9969,3.04,9.2
8.6,2.0,27.0,0.9967,3.2,10.2
6.6,3.0,31.0,0.99629,3.45,10.3
11.2,2.5,53.0,0.9993,3.06,11.0
7.2,1.9,38.0,0.99675,3.37,9.0
9.1,4.6,20.0,0.99652,3.28,12.5
7.1,1.9,35.0,0.9972,3.47,9.4
8.6,2.2,6.0,0.99512,3.27,11.9
6.5,2.2,59.0,0.99541,3.61,11.5
7.1,2.5,85.0,0.99746,3.55,9.8
7.8,2.0,131.0,0.99622,3.21,9.9
8.4,2.6,119.0,0.99801,3.15,9.1
8.2,2.3,28.0,0.99613,3.25,10.2
8.1,3.3,61.0,1.00025,3.6,9.8
8.7,1.7,66.0,0.99623,3.0,9.2
7.7,2.0,41.0,0.99697,3.39,10.1
8.4,2.0,22.0,0.9976,3.22,9.6
6.9,4.1,65.0,0.99842,3.53,9.25
11.3,2.0,15.0,0.9988,2.94,9.2
6.2,2.0,24.0,0.99428,3.45,11.2
9.1,1.8,16.0,0.99462,3.21,12.5
10.5,2.95,29.0,0.997,3.24,11.7
7.8,2.0,16.0,0.9964,3.38,9.8
8.7,2.8,28.0,0.9964,3.33,11.2
11.5,2.6,49.0,0.9988,3.18,11.0
7.5,1.7,31.0,0.99538,3.36,10.5
9.5,6.3,17.0,0.9988,3.21,11.0
8.2,2.0,86.0,0.99764,3.34,9.5
10.2,1.8,14.0,0.9982,3.17,10.0
10.0,1.9,74.0,0.99451,2.98,11.8
7.2,2.5,42.0,0.9972,3.44,9.3
7.8,2.6,90.0,0.99621,3.38,10.8
6.4,2.2,25.0,0.99514,3.44,11.1
8.2,1.7,12.0,0.9964,3.53,10.9
11.4,2.1,21.0,1.0,3.17,9.2
10.7,2.2,32.0,0.9986,2.89,9.6
8.0,2.0,18.0,0.9972,3.29,9.2
6.7,2.3,32.0,0.99648,3.52,11.0
8.0,1.9,84.0,0.99717,3.39,9.0
7.4,2.4,26.0,0.9947,3.36,11.9
7.9,2.0,79.0,0.99677,3.29,9.5
7.5,2.2,20.0,0.99474,3.26,11.8
